City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
60,Talnakh,RU,2021-07-31 18:05:30,69.4865,88.3972,54.21,77,30,14.52,scattered clouds
61,Fort Nelson,CA,2021-07-31 18:05:30,58.8053,-122.7002,81.32,39,4,1.81,clear sky
62,Bathsheba,BB,2021-07-31 18:05:31,13.2167,-59.5167,86.61,79,75,19.57,broken clouds
63,Pundaguitan,PH,2021-07-31 18:05:31,6.3711,126.1689,83.73,76,72,6.49,broken clouds
64,Hobart,AU,2021-07-31 18:05:32,-42.8794,147.3294,50.25,64,100,1.99,overcast clouds
65,Busselton,AU,2021-07-31 18:05:32,-33.65,115.3333,50.09,67,90,29.35,light rain
66,Port Elizabeth,ZA,2021-07-31 18:05:32,-33.918,25.5701,60.1,63,50,2.59,scattered clouds
67,Pisco,PE,2021-07-31 18:05:33,-13.7,-76.2167,67.01,77,75,10.36,broken clouds
68,Tasiilaq,GL,2021-07-31 18:05:33,65.6145,-37.6368,57.36,77,100,3.58,overcast clouds
69,Georgetown,MY,2021-07-31 18:05:34,5.4112,100.3354,78.73,93,40,1.01,light rain
70,Salalah,OM,2021-07-31 18:05:34,17.0151,54.0924,78.89,89,90,8.05,overcast clouds
71,Hilo,US,2021-07-31 18:02:26,19.7297,-155.09,77.79,84,90,10.36,light rain
72,Najran,SA,2021-07-31 18:05:35,17.4924,44.1277,85.05,40,97,14.88,overcast clouds
73,Ancud,CL,2021-07-31 18:05:35,-41.8697,-73.8203,49.53,61,21,3.42,few clouds
74,Mahebourg,MU,2021-07-31 18:05:35,-20.4081,57.7,69.26,70,9,16.49,light rain
75,Imamoglu,TR,2021-07-31 18:05:36,37.2651,35.6572,85.71,57,0,5.59,clear sky
76,Avarua,CK,2021-07-31 18:05:36,-21.2078,-159.775,75.25,69,79,18.41,broken clouds
77,Rio Grande,BR,2021-07-31 18:05:37,-32.035,-52.0986,60.91,73,3,10.65,clear sky
78,Pangai,TO,2021-07-31 18:05:37,-19.8,-174.35,75.56,83,73,18.52,light rain
79,Laguna,US,2021-07-31 18:05:38,38.421,-121.4238,94.21,49,1,5.01,clear sky
80,Namibe,AO,2021-07-31 18:05:38,-15.1961,12.1522,68.52,93,2,3.83,clear sky
81,Ushuaia,AR,2021-07-31 18:00:55,-54.8,-68.3,39.15,91,88,7.29,light rain
82,Cidreira,BR,2021-07-31 18:05:39,-30.1811,-50.2056,58.05,73,0,14.99,clear sky
83,Butaritari,KI,2021-07-31 18:05:39,3.0707,172.7902,80.55,76,53,3.18,broken clouds
84,High Level,CA,2021-07-31 18:05:40,58.5169,-117.136,80.24,36,0,6.44,clear sky
85,Ayia Marina,GR,2021-07-31 18:05:40,37.75,23.5333,94.44,72,0,7.36,clear sky
86,Port Alfred,ZA,2021-07-31 18:05:41,-33.5906,26.891,65.57,51,62,5.37,broken clouds
87,Cabo San Lucas,MX,2021-07-31 18:05:41,22.8909,-109.9124,97.9,38,20,4.61,few clouds
88,Hermanus,ZA,2021-07-31 18:03:02,-34.4187,19.2345,57.9,81,98,2.42,overcast clouds
89,New Norfolk,AU,2021-07-31 18:05:42,-42.7826,147.0587,49.91,68,96,1.99,overcast clouds
90,Malibu,US,2021-07-31 18:05:42,34.005,-118.8101,98.46,64,39,8.66,scattered clouds
91,Chapais,CA,2021-07-31 18:05:43,49.7834,-74.8492,53.26,53,100,6.91,overcast clouds
92,Yellowknife,CA,2021-07-31 18:05:43,62.456,-114.3525,77.29,47,6,1.01,clear sky
93,Faya,SA,2021-07-31 18:05:44,18.3851,42.4509,63.12,80,91,9.26,overcast clouds
94,Porto Novo,BJ,2021-07-31 18:05:44,6.4965,2.6036,78.19,79,39,7.92,scattered clouds
95,Vila,PT,2021-07-31 18:02:03,42.0304,-8.1588,62.33,62,62,8.43,broken clouds
96,Codrington,AU,2021-07-31 18:01:23,-38.2667,141.9667,45.03,88,100,8.81,overcast clouds
97,Port-Gentil,GA,2021-07-31 18:05:45,-0.7193,8.7815,76.17,77,16,14.65,few clouds
98,Saint-Augustin,CA,2021-07-31 18:05:45,51.226,-58.6502,56.52,90,100,12.8,overcast clouds
99,Saint-Joseph,RE,2021-07-31 18:05:46,-21.3667,55.6167,70.18,76,26,15.48,scattered clouds
100,Sao Filipe,CV,2021-07-31 18:05:46,14.8961,-24.4956,76.62,83,61,10.18,broken clouds
101,Isangel,VU,2021-07-31 18:01:07,-19.55,169.2667,68.54,58,4,14.27,clear sky
102,Ostrovnoy,RU,2021-07-31 18:05:47,68.0531,39.5131,48.02,91,100,7.07,overcast clouds
103,Wheeling,US,2021-07-31 18:05:47,42.1392,-87.929,80.02,54,40,6.91,scattered clouds
104,Evensk,RU,2021-07-31 18:05:48,61.95,159.2333,46.74,64,46,3.29,scattered clouds
105,Luwuk,ID,2021-07-31 18:05:48,-0.9516,122.7875,76.12,89,20,4.45,few clouds
106,Thinadhoo,MV,2021-07-31 18:05:49,0.5333,72.9333,82.71,67,92,2.37,overcast clouds
107,Kavaratti,IN,2021-07-31 18:05:49,10.5669,72.642,81.52,81,63,14.94,light rain
108,Te Anau,NZ,2021-07-31 18:01:24,-45.4167,167.7167,46.49,97,100,1.01,overcast clouds
109,Mwinilunga,ZM,2021-07-31 18:05:50,-11.7358,24.4293,60.04,41,0,4.92,clear sky
110,Casper,US,2021-07-31 18:05:51,42.8666,-106.3131,75.81,50,1,8.99,clear sky
111,Estepona,ES,2021-07-31 18:05:51,36.4276,-5.1459,91.31,28,52,13.47,broken clouds
112,Castro,BR,2021-07-31 18:05:52,-24.7911,-50.0119,56.23,51,100,7.65,overcast clouds
113,Kaitangata,NZ,2021-07-31 18:05:52,-46.2817,169.8464,47.68,97,100,2.73,overcast clouds
114,Sao Gabriel Da Cachoeira,BR,2021-07-31 18:01:42,-0.1303,-67.0892,88.95,44,66,1.86,broken clouds
115,Zamania,IN,2021-07-31 18:05:53,25.4333,83.5667,79.41,85,99,17.78,overcast clouds
116,Cap Malheureux,MU,2021-07-31 18:05:53,-19.9842,57.6142,69.48,69,8,4.0,clear sky
117,Faanui,PF,2021-07-31 18:05:53,-16.4833,-151.75,77.4,66,64,17.65,broken clouds
118,Meulaboh,ID,2021-07-31 18:05:54,4.1363,96.1285,75.54,86,100,4.29,light rain
119,Shitkino,RU,2021-07-31 18:05:54,56.3703,98.3543,59.72,87,100,2.93,overcast clouds
120,Alta Floresta,BR,2021-07-31 18:05:55,-9.8756,-56.0861,96.1,18,57,6.64,broken clouds
121,Ibotirama,BR,2021-07-31 18:03:46,-12.1853,-43.2206,92.61,24,59,7.29,broken clouds
122,Broome,US,2021-07-31 18:05:55,42.2506,-75.833,71.71,56,40,1.99,scattered clouds
123,Jamestown,US,2021-07-31 18:04:41,42.097,-79.2353,72.3,58,40,3.0,scattered clouds
124,Hervey Bay,AU,2021-07-31 18:05:56,-25.2986,152.8535,63.01,88,0,3.0,clear sky
125,Pevek,RU,2021-07-31 18:01:05,69.7008,170.3133,35.19,80,91,1.48,overcast clouds
126,Tuatapere,NZ,2021-07-31 18:05:57,-46.1333,167.6833,47.82,98,100,3.11,overcast clouds
127,San Policarpo,PH,2021-07-31 18:05:57,12.1791,125.5072,81.81,80,95,8.9,overcast clouds
128,Nuuk,GL,2021-07-31 18:05:57,64.1835,-51.7216,52.41,76,75,8.05,broken clouds
129,Hibbing,US,2021-07-31 18:05:58,47.4272,-92.9377,76.5,53,20,13.8,haze
130,Sagae,JP,2021-07-31 18:01:14,38.3725,140.2725,74.75,97,42,2.15,scattered clouds
131,Banda Aceh,ID,2021-07-31 18:05:59,5.5577,95.3222,81.43,70,99,15.1,overcast clouds
132,Kununurra,AU,2021-07-31 18:05:59,-15.7667,128.7333,67.98,94,5,4.61,clear sky
133,Esperance,AU,2021-07-31 18:06:00,-33.8667,121.9,48.04,71,5,26.31,clear sky
134,Longyearbyen,SJ,2021-07-31 18:06:00,78.2186,15.6401,44.44,70,75,11.5,broken clouds
135,Saint Austell,GB,2021-07-31 18:06:01,50.3383,-4.7658,66.02,88,75,12.66,broken clouds
136,Dillon,US,2021-07-31 18:06:01,34.4166,-79.3712,97.12,43,77,4.07,broken clouds
137,Xingyi,CN,2021-07-31 18:06:02,24.1877,102.817,62.17,97,100,3.58,light rain
138,Nyazepetrovsk,RU,2021-07-31 18:06:02,56.0531,59.6028,62.47,97,100,3.0,overcast clouds
139,Kvitok,RU,2021-07-31 18:06:03,56.0724,98.4813,59.25,86,100,3.2,overcast clouds
140,College,US,2021-07-31 18:05:34,64.8569,-147.8028,65.08,71,75,3.44,broken clouds
141,Chauk,MM,2021-07-31 18:06:04,20.8833,94.8167,81.3,77,100,14.76,overcast clouds
142,Delta Del Tigre,UY,2021-07-31 18:06:05,-34.7633,-56.3853,61.21,48,0,5.75,clear sky
143,Kamenka,RU,2021-07-31 18:06:05,51.3223,42.7678,73.72,68,68,5.23,broken clouds
144,Lorengau,PG,2021-07-31 18:06:05,-2.0226,147.2712,79.83,79,89,2.26,overcast clouds
145,Piacabucu,BR,2021-07-31 18:06:06,-10.4056,-36.4344,76.01,85,17,16.58,few clouds
146,Touros,BR,2021-07-31 18:06:07,-5.1989,-35.4608,85.1,57,88,19.28,overcast clouds
147,Carnarvon,AU,2021-07-31 18:06:07,-24.8667,113.6333,51.87,56,90,5.75,overcast clouds
148,Teya,RU,2021-07-31 18:06:07,60.3778,92.6267,52.75,72,38,3.74,scattered clouds
149,Leningradskiy,RU,2021-07-31 18:06:08,69.3833,178.4167,32.58,90,99,11.36,overcast clouds
150,Bengkulu,ID,2021-07-31 18:06:09,-3.8004,102.2655,75.74,91,50,4.25,scattered clouds
151,Andenes,NO,2021-07-31 18:06:09,69.3143,16.1194,49.06,81,90,9.22,overcast clouds
152,Severo-Kurilsk,RU,2021-07-31 18:06:10,50.6789,156.125,53.29,97,100,2.77,overcast clouds
153,Inirida,CO,2021-07-31 18:06:10,3.8653,-67.9239,76.48,80,98,3.94,overcast clouds
154,Pilar,BR,2021-07-31 18:06:11,-9.5972,-35.9567,80.53,75,18,11.9,few clouds
155,Skjervoy,NO,2021-07-31 18:01:34,70.0311,20.9714,45.72,79,100,4.09,overcast clouds
156,Samarai,PG,2021-07-31 18:06:12,-10.6167,150.6667,78.21,67,100,15.66,overcast clouds
157,Ribeira Grande,PT,2021-07-31 18:06:12,38.5167,-28.7,77.4,73,20,13.8,few clouds
158,Lompoc,US,2021-07-31 18:06:12,34.6391,-120.4579,73.92,82,90,10.36,overcast clouds
159,Provideniya,RU,2021-07-31 18:06:13,64.3833,-173.3,45.54,85,100,3.42,overcast clouds
160,Muisne,EC,2021-07-31 18:06:13,0.6,-80.0333,76.01,85,100,11.43,overcast clouds
