City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
202,Tomatlan,MX,84.45,overcast clouds,19.9333,-105.25,El Salvial
203,Hongjiang,CN,79.99,overcast clouds,27.11,109.9956,洪江大酒店
204,Hambantota,LK,79.95,overcast clouds,6.1241,81.1185,Bungalow 63
211,Powell River,CA,81.34,overcast clouds,49.8496,-124.5361,Rodmay Hotel
213,Katsuura,JP,81.1,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
214,West Wendover,US,81.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
216,Le Pradet,FR,84.69,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
219,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
221,Palmer,US,75.49,clear sky,42.1584,-72.3287,Wedgewood Motel
226,San Quintin,MX,77.05,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
227,Matara,LK,78.67,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
230,Yen Bai,VN,77.95,heavy intensity rain,21.7,104.8667,AK MOTEL
232,Phetchabun,TH,76.28,overcast clouds,16.25,101.0833,วินธนา รีสอร์ท
234,Salvador,SV,87.04,few clouds,13.8333,-88.9167,Chico's Ranch
235,Takoradi,GH,77.92,broken clouds,4.8845,-1.7554,Raybow International Hotel
236,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
238,Norman Wells,CA,77.88,scattered clouds,65.282,-126.8329,Heritage Hotel
240,Sarangani,PH,83.97,scattered clouds,5.4033,125.4636,Ballistic Islet
241,Daru,PG,76.57,moderate rain,-9.0763,143.2092,Daru Lodge
247,Kieta,PG,77.81,light rain,-6.2167,155.6333,Uruna Bay Retreat
249,Lodwar,KE,86.79,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
250,Zhezkazgan,KZ,80.65,clear sky,47.8043,67.7144,Hotel Zumrat
252,Dzaoudzi,YT,75.09,clear sky,-12.7887,45.2699,Le Rocher
255,Miranda,CO,86.13,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
258,Lufilufi,WS,79.79,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
260,Sorong,ID,78.1,clear sky,-0.8833,131.25,waigo splash hotel
262,Semnan,IR,83.88,few clouds,35.5729,53.3971,Semnan Tourist Hotel
263,Sai Buri,TH,78.42,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
264,Colonial Park,US,78.85,scattered clouds,40.3006,-76.8097,Red Roof Inn Harrisburg North
268,Amahai,ID,77.07,light rain,-3.3333,128.9167,HOTEL ISABELA
271,Edd,ER,89.2,light rain,13.9297,41.6925,
275,Celestun,MX,89.06,scattered clouds,20.8667,-90.4,Posada Lilia
276,Mahon,ES,81.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
277,Ouidah,BJ,78.19,few clouds,6.3631,2.0851,Le Jardin Secret Ouidah
278,Ixtapa,MX,84.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
281,Las Choapas,MX,86.05,broken clouds,17.9333,-94.0833,Hotel Jysmak
282,Mayo,US,84.38,broken clouds,38.8876,-76.5119,Resorts Resource Group International
288,Basudebpur,IN,81.52,overcast clouds,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
294,Nioro,GM,85.08,overcast clouds,13.35,-15.75,
296,Curaca,BR,77.68,overcast clouds,-8.9903,-39.9094,Hotel Recanto Campestre
298,Marseille,FR,80.91,clear sky,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
299,Kijang,KR,80.06,broken clouds,35.2442,129.2139,Samyang Beach Villa
